song,artist,weeks,peak,year,genre,gsId
Black And Yellow,Wiz Khalifa,1,100,2010,Hip hop/Rap,27753272
Trailerhood,Toby Keith,1,99,2010,Country,28389894
Rhythm of Love,Plain White T's,1,98,2010,Pop,26665893
Smoke A Little Smoke,Eric Church,1,97,2010,Country,22366300
Waiting For The End,Linkin Park,1,96,2010,Alternative rock,27542013
U Smile,Justin Bieber,2,27,2010,Dance,24919313
Turn On The Radio,Reba,1,94,2010,Country,26281430
Glitter In The Air,Pink,3,18,2010,Alternative rock,21101400
Hold You (Hold Yuh),Gyptian,1,92,2010,Rhythm and blues (R&B),27864449
All I Want Is You,Miguel Featuring J. Cole,1,91,2010,Pop,28647145
Somebody To Love,Justin Bieber Featuring Usher,1,90,2010,Rhythm and blues (R&B),24919330
Only Prettier,Miranda Lambert,1,89,2010,Country,29800831
Way Out Here,Josh Thompson,1,88,2010,Country,33059584
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,1,87,2010,Rock,26149317
Round & Round,Selena Gomez & The Scene,1,86,2010,Pop,27583322
The Breath You Take,George Strait,1,85,2010,Country,26854636
Bittersweet,Fantasia,1,84,2010,Soul,27041799
We No Speak Americano,Yolanda Be Cool & Dcup,1,83,2010,Other,28204078
Put You In A Song,Keith Urban,1,82,2010,Country,30400849
Anything Like Me,Brad Paisley,1,81,2010,Rock,28352588
Toot It And Boot It,YG,1,80,2010,Hip hop/Rap,27756310
Break My Bank,New Boyz Featuring Iyaz,1,79,2010,Hip hop/Rap,26526421
Erase Me,Kid Cudi Featuring Kanye West,1,78,2010,Alternative rock,27663861
Free,Zac Brown Band,1,77,2010,Country,22225392
Why Wait,Rascal Flatts,1,76,2010,Country,8110018
Little Lion Man,Mumford & Sons,1,75,2010,Other,23607328
Can't Be Friends,Trey Songz,1,74,2010,Hip hop/Rap,26553493
All About Tonight,Blake Shelton,1,73,2010,Country,27081701
Pretty Boy Swag,Soulja Boy Tell'em,1,72,2010,Hip hop/Rap,27257455
Holding You Down (Goin In Circles),Jazmine Sullivan,1,71,2010,Soul,29775443
La La La,Auburn Featuring Iyaz,1,70,2010,Other,27326597
Love Like Crazy,Lee Brice,1,69,2010,Country,26595022
Love Like Woe,The Ready Set,1,68,2010,Alternative rock,26911718
POWER,Kanye West,1,67,2010,Soul,27598996
My Kinda Party,Jason Aldean,1,66,2010,Country,27572082
A Year Without Rain,Selena Gomez & The Scene,1,65,2010,Rock,27014648
All Over Me,Josh Turner,1,64,2010,Country,24411141
Little White Church,Little Big Town,1,63,2010,Country,16197397
Roll With It,Easton Corbin,1,62,2010,Country,24866751
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,1,61,2010,Hip hop/Rap,26772725
Farmer's Daughter,Rodney Atkins,1,60,2010,Country,27430598
Got Your Back,T.I. Featuring Keri Hilson,1,59,2010,Hip hop/Rap,26353872
Love All Over Me,Monica,1,58,2010,Pop,26553545
Check It Out,will.i.am & Nicki Minaj,1,57,2010,Other,27798814
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,1,56,2010,Country,28089892
Pretty Good At Drinkin' Beer,Billy Currington,1,55,2010,Other,27170880
Come Back Song,Darius Rucker,1,54,2010,Country,27350562
September,Daughtry,1,53,2010,Heavy metal,25939508
Our Kind Of Love,Lady Antebellum,2,52,2010,Country,NULL
Half Of My Heart,John Mayer,1,51,2010,Soul,24191402
Breakeven,The Script,20,13,2010,Alternative rock,29334391
Miss Me,Drake Featuring Lil Wayne,1,49,2010,Pop,25251655
Smile,Uncle Kracker,6,43,2010,Rock,25006307
Need You Now,Lady Antebellum,20,2,2010,Country,33435540
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,1,46,2010,Hip hop/Rap,28243204
King Of Anything,Sara Bareilles,1,45,2010,Funk,27019559
Teach Me How To Dougie,Cali Swag District,1,44,2010,Other,28291195
If It's Love,Train,1,43,2010,Rock,23619114
"Hey, Soul Sister",Train,20,3,2010,Rock,27854285
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,1,41,2010,Rhythm and blues (R&B),28815070
If I Die Young,The Band Perry,1,40,2010,Country,25567818
The Only Exception,Paramore,1,39,2010,Alternative rock,29045322
Your Love,Nicki Minaj,1,38,2010,Pop,26947570
Radioactive,Kings Of Leon,1,37,2010,Alternative rock,27068026
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,1,36,2010,Rhythm and blues (R&B),27707234
F**k You (Forget You),Cee Lo Green,1,35,2010,Soul,NULL
Find Your Love,Drake,1,34,2010,Rhythm and blues (R&B),27075252
Billionaire,Travie McCoy Featuring Bruno Mars,5,33,2010,Other,29146262
The Boys of Fall,Kenny Chesney,1,32,2010,Country,33504867
Right Above It,Lil Wayne Featuring Drake,1,31,2010,Pop,27362348
If I Had You,Adam Lambert,1,30,2010,Other,23553020
Hot Tottie,Usher Featuring Jay-Z,1,29,2010,Pop,26927193
Secrets,OneRepublic,1,28,2010,Rock,26553864
The Catalyst,Linkin Park,1,27,2010,Alternative rock,26550229
Stuck Like Glue,Sugarland,1,26,2010,Country,26502034
Fancy,Drake Featuring T.I. & Swizz Beatz,1,25,2010,Pop,27075252
OMG,Usher Featuring will.i.am,5,6,2010,Hip hop/Rap,24894930
Ridin' Solo,Jason Derulo,8,23,2010,Dance,29682822
Animal,Neon Trees,1,22,2010,Alternative rock,24546537
Dog Days Are Over,Florence + The Machine,1,21,2010,Other,24913626
Misery,Maroon 5,1,20,2010,Pop,27521015
Deuces,Chris Brown Featuring Tyga & Kevin McCall,1,19,2010,Rhythm and blues (R&B),27980281
Magic,B.o.B Featuring Rivers Cuomo,1,18,2010,Other,26044097
California Gurls,Katy Perry Featuring Snoop Dogg,1,17,2010,Rock,26825304
Airplanes,B.o.B Featuring Hayley Williams,1,16,2010,Other,32461641
Cooler Than Me,Mike Posner,1,15,2010,Rhythm and blues (R&B),25984721
Not Afraid,Eminem,1,14,2010,Hip hop/Rap,25372252
Bottoms Up,Trey Songz Featuring Nicki Minaj,1,13,2010,Soul,27543625
Mine,Taylor Swift,1,12,2010,Country,26735617
Take It Off,Ke$ha,2,11,2010,Other,28757346
Like A G6,Far*East Movement Featuring Cataracs & Dev,1,10,2010,Other,NULL
Club Can't Handle Me,Flo Rida Featuring David Guetta,1,9,2010,Hip hop/Rap,27967652
Just A Dream,Nelly,1,8,2010,Rhythm and blues (R&B),26579347
I Like It,Enrique Iglesias Featuring Pitbull,1,7,2010,Dance,26741760
Dynamite,Taio Cruz,1,6,2010,Dance,27963890
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,1,5,2010,Rhythm and blues (R&B),32615519
Teenage Dream,Katy Perry,1,4,2010,Dance,26770609
Only Girl (In The World),Rihanna,1,3,2010,Rhythm and blues (R&B),25113890
Love The Way You Lie,Eminem Featuring Rihanna,1,2,2010,Hip hop/Rap,21869491
Just The Way You Are,Bruno Mars,1,1,2010,Other,30183054
Sex Therapy,Robin Thicke,19,54,2010,Soul,24240738
O Let's Do It,Waka Flocka Flame,11,62,2010,Hip hop/Rap,27328163
Love King,The-Dream,2,92,2010,Rhythm and blues (R&B),25656068
Give Me A Sign (Forever And Ever),Breaking Benjamin,3,97,2010,Alternative rock,23206345
All I Ever Wanted,Kelly Clarkson,3,96,2010,Rhythm and blues (R&B),24614989
Kissin U,Miranda Cosgrove,2,87,2010,Other,26043540
I Am,Mary J. Blige,19,55,2010,Hip hop/Rap,23753205
Ride,Ciara Featuring Ludacris,1,93,2010,Dance,28530597
Gives You Hell,Glee Cast Featuring Lea Michele,2,32,2010,Other,27841634
Still,Tim McGraw,1,91,2010,Country,14527353
I Keep On Loving You,Reba,1,90,2010,Country,23177675
4 Minutes,Glee Cast Featuring Chris Colfer & Amber Riley,1,89,2010,Other,25868840
Impossible,Shontelle,1,88,2010,Rhythm and blues (R&B),24261331
Like A Virgin,"Glee Cast Feat. Matthew Morrison, Jayma Mayes, Naya Rivera, Cory Monteith & Lea Michele",1,87,2010,Other,NULL
Lemonade,Gucci Mane,12,53,2010,Hip hop/Rap,23570867
Wrong Baby Wrong,Martina McBride,5,85,2010,Country,28582885
Water,Brad Paisley,2,84,2010,Rock,30633802
She Won't Be Lonely Long,Clay Walker,4,83,2010,Country,26103645
'Til Summer Comes Around,Keith Urban,15,58,2010,Country,NULL
I Gotta Get To You,George Strait,6,81,2010,Country,24659145
There Goes My Baby,Usher,6,71,2010,Hip hop/Rap,24934387
Crazy Town,Jason Aldean,2,79,2010,Country,NULL
Borderline \/ Open Your Heart,Glee Cast Featuring Lea Michele & Cory Monteith,1,78,2010,Other,25306683
Backwoods,Justin Moore,9,77,2010,Country,23265340
I Never Told You,Colbie Caillat,5,76,2010,Pop,25463958
Drop The World,Lil Wayne Featuring Eminem,17,18,2010,Pop,24463116
A Little More Country Than That,Easton Corbin,16,42,2010,Country,26247433
Keep On Lovin' You,Steel Magnolia,8,73,2010,Country,24509707
Bet I,B.o.B Featuring T.I. & Playboy Tre,1,72,2010,Other,25360397
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,18,40,2010,Country,25153428
Steady Mobbin',Young Money Featuring Gucci Mane,16,48,2010,Other,25083454
Hell On The Heart,Eric Church,8,69,2010,Country,22366304
When I Look At You,Miley Cyrus,11,16,2010,Pop,23465022
Roger That,Young Money,5,67,2010,Other,23748525
Unstoppable,Rascal Flatts,11,52,2010,Country,22474974
Today Was A Fairytale,Taylor Swift,14,2,2010,Country,25272540
Hello Good Morning,Diddy - Dirty Money Featuring T.I.,4,34,2010,Other,25405446
This Afternoon,Nickelback,3,63,2010,Alternative rock,21192853
I'm Back,T.I.,6,44,2010,Hip hop/Rap,26044301
Temporary Home,Carrie Underwood,17,41,2010,Country,23467664
Blah Blah Blah,Ke$ha Featuring 3OH!3,16,7,2010,Other,23750337
Halfway Gone,Lifehouse,19,50,2010,Rock,26553851
Un-Thinkable (I'm Ready),Alicia Keys,3,58,2010,Other,23638094
Pray For You,Jaron And The Long Road To Love,5,57,2010,Country,24516780
"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,9,56,2010,Hip hop/Rap,25623718
I'm Awesome,Spose,6,37,2010,Other,26676155
Rain Is A Good Thing,Luke Bryan,5,54,2010,Country,23284748
The Man I Want To Be,Chris Young,8,53,2010,Country,25334489
Heartbreak Warfare,John Mayer,19,34,2010,Pop,29496095
Highway 20 Ride,Zac Brown Band,15,40,2010,Country,26628825
Ain't Back Yet,Kenny Chesney,8,50,2010,Country,29755119
Not Myself Tonight,Christina Aguilera,2,23,2010,Rhythm and blues (R&B),25254223
According To You,Orianthi,19,17,2010,Rock,24184692
If We Ever Meet Again,Timbaland Featuring Katy Perry,5,47,2010,Rhythm and blues (R&B),26032160
Neighbors Know My Name,Trey Songz,9,46,2010,Hip hop/Rap,24602320
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",10,45,2010,Hip hop/Rap,24507495
Everything To Me,Monica,11,44,2010,Rhythm and blues (R&B),22638528
Sexy Chick,David Guetta Featuring Akon,19,5,2010,Dance,23796522
Winner,Jamie Foxx Featuring Justin Timberlake & T .I.,3,28,2010,Other,23694962
Lil Freak,Usher Featuring Nicki Minaj,8,40,2010,Pop,29433407
How Low,Ludacris,19,6,2010,Hip hop/Rap,24748103
I Gotta Feeling,The Black Eyed Peas,19,9,2010,Other,27897754
Say Something,Timbaland Featuring Drake,16,23,2010,Pop,23627474
Naturally,Selena Gomez & The Scene,18,29,2010,Alternative rock,26810111
Bulletproof,La Roux,8,35,2010,Dance,24209088
Gimmie That Girl,Joe Nichols,9,34,2010,Country,23310119
Live Like We're Dying,Kris Allen,19,18,2010,Pop,23491902
Solo,Iyaz,11,32,2010,Rhythm and blues (R&B),31477064
Haven't Met You Yet,Michael Buble,19,25,2010,Pop,28940258
The House That Built Me,Miranda Lambert,5,30,2010,Country,26628735
Hey Daddy (Daddy's Home),Usher Featuring Plies,15,25,2010,Rhythm and blues (R&B),24934387
Bad Romance,Lady Gaga,19,2,2010,Rhythm and blues (R&B),29445173
Like A Prayer,"Glee Cast Featuring Lea Michele, Jonathan Groff, Cory Monteith, Chris Colfer & Amber Riley",1,27,2010,Other,27000460
Eenie Meenie,Sean Kingston & Justin Bieber,5,26,2010,Other,25049682
American Honey,Lady Antebellum,15,25,2010,Country,NULL
BedRock,Young Money Featuring Lloyd,19,2,2010,Other,23241322
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",12,23,2010,Hip hop/Rap,26903458
All The Right Moves,OneRepublic,19,18,2010,Alternative rock,25080045
Baby,Justin Bieber Featuring Ludacris,14,5,2010,Dance,24919330
Alejandro,Lady Gaga,4,20,2010,Pop,26520204
Carry Out,Timbaland Featuring Justin Timberlake,19,11,2010,Hip hop/Rap,23954094
Say Aah,Trey Songz Featuring Fabolous,19,9,2010,Hip hop/Rap,24482205
TiK ToK,Ke$ha,19,1,2010,Other,24473852
Over,Drake,7,16,2010,Pop,24718989
Imma Be,The Black Eyed Peas,19,1,2010,Other,22839998
Whataya Want From Me,Adam Lambert,19,10,2010,Other,23525954
Young Forever,Jay-Z + Mr. Hudson,10,12,2010,Other,23171142
My Chick Bad,Ludacris Featuring Nicki Minaj,9,11,2010,Hip hop/Rap,24748066
Telephone,Lady Gaga Featuring Beyonce,19,3,2010,Pop,29445202
Airplanes,B.o.B Featuring Hayley Williams Of Paramore,2,9,2010,Other,32461641
Your Love Is My Drug,Ke$ha,11,8,2010,Other,30273958
In My Head,Jason Derulo,19,5,2010,Pop,29682822
Break Your Heart,Taio Cruz Featuring Ludacris,9,1,2010,Dance,27667877
Rude Boy,Rihanna,11,1,2010,Rhythm and blues (R&B),23559465
Nothin' On You,B.o.B Featuring Bruno Mars,13,1,2010,Other,23677368
Hello Goodbye,"Glee Cast Featuring Lea Michele, Cory Monteith & Amber Riley",1,49,2010,Other,26061526
You And Your Heart,Jack Johnson,2,20,2010,Pop,25634148
Life After You,Daughtry,18,36,2010,Rock,25805199
Hello,Glee Cast Featuring Jonathan Groff & Lea Michele,1,35,2010,Other,26061526
All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em,12,46,2010,Other,26897314
On To The Next One,Jay-Z + Swizz Beatz,14,37,2010,Other,24442273
Fearless,Taylor Swift,10,76,2010,Pop,23182623
That's How Country Boys Roll,Billy Currington,17,57,2010,Other,24412754
"Hello, I Love You",Glee Cast,1,66,2010,Other,29182396
Just Breathe,Pearl Jam,14,78,2010,Alternative rock,23170569
Replay,Iyaz,17,2,2010,Rhythm and blues (R&B),27041044
Don't Let Me Fall,B.o.B,1,67,2010,Other,25196997
"Women Lie, Men Lie",Yo Gotti Featuring Lil Wayne,7,81,2010,Hip hop/Rap,28043292
4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,2,97,2010,Other,26080095
Tie Me Down,New Boyz Featuring Ray J,14,22,2010,Hip hop/Rap,26633374
Shots,LMFAO Featuring Lil Jon,16,68,2010,Other,23431334
Window Seat,Erykah Badu,2,95,2010,Hip hop/Rap,24510085
Empire State Of Mind,Jay-Z + Alicia Keys,16,2,2010,Other,29605933
You Belong With Me,Taylor Swift,16,16,2010,Pop,28893519
Try Sleeping With A Broken Heart,Alicia Keys,16,27,2010,Other,23365249
Hard,Rihanna Featuring Jeezy,16,8,2010,Dance,23605114
One Day,Matisyahu,6,85,2010,Hip hop/Rap,23118070
It Kills Me,Melanie Fiona,16,43,2010,Rhythm and blues (R&B),24543193
Down,Jay Sean Featuring Lil Wayne,16,7,2010,Pop,30106926
Fistful Of Tears,Maxwell,3,94,2010,Soul,33388533
Someday,Rob Thomas,16,59,2010,Alternative rock,24192658
That Should Be Me,Justin Bieber,1,92,2010,Pop,24919292
Reverse Cowgirl,T-Pain,1,75,2010,Dance,NULL
Soldier Of Love,Sade,11,52,2010,Rhythm and blues (R&B),25074613
Why Don't We Just Dance,Josh Turner,15,35,2010,Country,26279914
I Wanna Rock,Snoop Dogg,14,41,2010,Pop,396244
Make A Wave,Disney's Friends For Change,1,84,2010,Other,26344500
Alice,Avril Lavigne,3,71,2010,Other,25458177
1901,Phoenix,11,84,2010,Rock,25175920
Ain't Leavin Without You,Jaheim,4,93,2010,Pop,24518384
More,Usher,1,76,2010,Rhythm and blues (R&B),434047
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,14,10,2010,Rhythm and blues (R&B),24714586
American Saturday Night,Brad Paisley,13,67,2010,Country,27977121
Fireflies,Owl City,14,4,2010,Pop,28991363
Cryin' Like A Bitch,Godsmack,3,74,2010,Heavy metal,25454479
The Truth,Jason Aldean,14,40,2010,Country,23310640
Whatcha Say,Jason Derulo,14,6,2010,Rhythm and blues (R&B),25075266
Never Let You Go,Justin Bieber,2,21,2010,Pop,24919292
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,13,18,2010,Alternative rock,23163386
If You Only Knew,Shinedown,13,42,2010,Rock,11059310
History In The Making,Darius Rucker,13,61,2010,Rhythm and blues (R&B),22954414
Vanilla Twilight,Owl City,4,72,2010,Alternative rock,23013472
Driving Me Crazy,Sam Adams,1,90,2010,Other,24810689
Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida,2,78,2010,Other,24761422
We Are The World 25: For Haiti,Artists For Haiti,5,2,2010,Other,24539559
Ooh Baby,Mario,1,95,2010,Hip hop/Rap,30115775
Shut It Down,Pitbull Featuring Akon,12,42,2010,Dance,29717971
Let It Be,Kris Allen,2,63,2010,Alternative rock,23491886
My Best Days Are Ahead Of Me,Danny Gokey,1,82,2010,Other,24643052
I Invented Sex,Trey Songz Featuring Drake,12,42,2010,Rhythm and blues (R&B),23208270
Follow Me Down,3OH!3 Featuring Neon Hitch,2,89,2010,Other,24870743
Knockout,Lil Wayne Featuring Nicki Minaj,5,44,2010,Rock,24485416
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",11,16,2010,Hip hop/Rap,23145562
Paparazzi,Lady Gaga,11,14,2010,Pop,23417955
White Liar,Miranda Lambert,11,47,2010,Country,26247432
Meet Me Halfway,The Black Eyed Peas,11,9,2010,Other,23561698
Gangsta Luv,Snoop Dogg Featuring The-Dream,11,35,2010,Hip hop/Rap,23788319
Already Gone,Kelly Clarkson,11,18,2010,Soul,23988312
Cryin' For Me (Wayman's Song),Toby Keith,10,73,2010,Country,23305340
Didn't You Know How Much I Loved You,Kellie Pickler,2,97,2010,Other,29884753
Rain,Creed,2,91,2010,Alternative rock,23331008
Use Somebody,Kings Of Leon,11,25,2010,Rock,28822578
Pants On The Ground,General Larry Platt,3,46,2010,Other,26490500
Never Gonna Be Alone,Nickelback,10,58,2010,Alternative rock,32996017
Something About The Sunshine,Christopher Wilde & Anna Margaret,1,81,2010,Other,NULL
Hallelujah (Vancouver Winter 2010 Version),k.d. lang,1,61,2010,Pop,24606068
Up Out My Face,Mariah Carey Featuring Nicki Minaj,1,100,2010,Dance,24494650
3,Britney Spears,10,10,2010,Pop,28945135
Party In The U.S.A.,Miley Cyrus,10,8,2010,Dance,27700858
Money To Blow,Birdman Featuring Lil Wayne & Drake,10,26,2010,Other,7447521
Hero,Christopher Wilde,1,57,2010,Other,26582521
StarStruck,Christopher Wilde,1,77,2010,Other,28917177
Southern Voice,Tim McGraw,10,50,2010,Country,23288784
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,9,21,2010,Pop,25877246
I Wanna Make You Close Your Eyes,Dierks Bentley,9,57,2010,Country,21812571
You And Me,Dave Matthews Band,2,57,2010,Pop,666848
Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright,5,54,2010,Alternative rock,8477503
Spotlight,Gucci Mane Featuring Usher,9,51,2010,Hip hop/Rap,23419662
Who I Am,Nick Jonas & The Administration,1,88,2010,Funk,27700835
Hallelujah,Justin Timberlake & Matt Morris Featuring Charlie Sexton,3,13,2010,Other,24511836
F**k Today,Lil Wayne Featuring Gudda,1,76,2010,Rhythm and blues (R&B),NULL
Sweet Dreams,Beyonce,8,17,2010,Soul,26054814
Consider Me Gone,Reba,8,45,2010,Country,23177675
Major Tom,Shiny Toy Guns,1,97,2010,Alternative rock,26851457
American Star,Lil Wayne Featuring Shanell AKA SNL,1,91,2010,Rhythm and blues (R&B),25071557
Evacuate The Dancefloor,Cascada,8,27,2010,Dance,23000880
Bridge Over Troubled Water,Mary J. Blige & Andrea Bocelli,1,75,2010,Other,29697450
Fallin' For You,Colbie Caillat,7,38,2010,Soul,24561466
One Less Lonely Girl,Justin Bieber,7,30,2010,Pop,24216912
Cowboy Casanova,Carrie Underwood,7,29,2010,Country,29849121
Breathless,Taylor Swift,1,72,2010,Country,31840325
Stranded (Haiti Mon Amour),"Jay-Z, Bono, The Edge & Rihanna",2,16,2010,Other,28357062
Hurry Home,Jason Michael Carroll,1,99,2010,Country,NULL
My City Of Ruins (Live From The Kennedy Center Honors),Eddie Vedder,1,92,2010,Heavy metal,31094997
Eight Second Ride,Jake Owen,7,72,2010,Country,23249992
Lean On Me,"Sheryl Crow, Kid Rock & Keith Urban",1,47,2010,Other,30581184
Let It Be,Jennifer Hudson Featuring The Roots,1,98,2010,Rhythm and blues (R&B),24511868
Papers,Usher,7,61,2010,Dance,33411787
Fifteen,Taylor Swift,6,25,2010,Country,24455097
Give It Up To Me,Shakira Featuring Lil Wayne,6,40,2010,Dance,24538177
Redemption Song,Rihanna,1,81,2010,Pop,24455842
Uprising,Muse,6,51,2010,Heavy metal,24941839
Crawl,Chris Brown,6,53,2010,Pop,27424867
Russian Roulette,Rihanna,6,43,2010,Rhythm and blues (R&B),25776671
Break,Three Days Grace,6,73,2010,Rock,29460568
Baby By Me,50 Cent Featuring Ne-Yo,6,36,2010,Other,14819627
Do I,Luke Bryan,5,43,2010,Country,21877751
I Will Not Bow,Breaking Benjamin,5,64,2010,Heavy metal,23114864
Ready To Love Again,Lady Antebellum,1,72,2010,Country,NULL
Hot Mess,Cobra Starship,4,88,2010,Alternative rock,22739287
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,4,77,2010,Hip hop/Rap,23570842
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,4,69,2010,Hip hop/Rap,25842785
One Time,Justin Bieber,4,17,2010,Dance,24919330
Love This Pain,Lady Antebellum,1,93,2010,Country,NULL
Bad Habits,Maxwell,2,83,2010,Soul,29479467
Body Language,Jesse McCartney Featuring T-Pain,4,45,2010,Hip hop/Rap,23458822
Red Light,David Nail,4,63,2010,Country,23381999
Run This Town,"Jay-Z, Rihanna & Kanye West",3,31,2010,Other,26320356
Drop It Low,Ester Dean Featuring Chris Brown,3,77,2010,Rhythm and blues (R&B),23765685
(If You're Wondering If I Want You To) I Want You To,Weezer,2,95,2010,Alternative rock,23409438
Gettin' You Home (The Black Dress Song),Chris Young,2,92,2010,Country,25334489
Funhouse,Pink,2,79,2010,Rock,21101393
Tie Me Down,New Boyz Feat. Ray J,3,26,2010,Other,26633374
Love Me,Justin Bieber,1,86,2010,Dance,24919330
Video Phone,Beyonce,2,98,2010,Rhythm and blues (R&B),24806203
Bonfire,Craig Morgan,2,76,2010,Country,25788133
Music Box,Eminem,1,82,2010,Hip hop/Rap,23581270
Falling Down,Selena Gomez & The Scene,1,92,2010,Alternative rock,23224822
Kings And Queens,Thirty Seconds To Mars,2,96,2010,Other,33037675
Elevator,Eminem,1,67,2010,Hip hop/Rap,23575776
Hell Breaks Loose,Eminem Featuring Dr. Dre,1,29,2010,Hip hop/Rap,23950912
Empire State Of Mind (Part II) Broken Down,Alicia Keys,1,55,2010,Other,27839071
On Fire,Lil Wayne,1,84,2010,Rhythm and blues (R&B),7936880
I Get It In,Omarion Featuring Gucci Mane,1,98,2010,Pop,24261349
Do I,Luke Bryan,15,34,2009,Country,21877751
Southern Voice,Tim McGraw,8,49,2009,Country,23288784
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,8,28,2009,Rock,23163386
Kings And Queens,Thirty Seconds To Mars,1,82,2009,Other,33037675
Bad Habits,Maxwell,12,71,2009,Rhythm and blues (R&B),29479467
It Kills Me,Melanie Fiona,4,54,2009,Rhythm and blues (R&B),24543193
One Less Lonely Girl,Justin Bieber,9,16,2009,Pop,24216912
Drop It Low,Ester Dean Featuring Chris Brown,14,38,2009,Rhythm and blues (R&B),23765685
How Low,Ludacris,1,13,2009,Hip hop/Rap,24748103
Cryin' For Me (Wayman's Song),Toby Keith,2,91,2009,Country,23305340
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,14,36,2009,Hip hop/Rap,23570842
This Is War,Thirty Seconds To Mars,1,72,2009,Other,33295620
Red Light,David Nail,12,54,2009,Country,23381999
Bedrock,Young Money Featuring Lloyd,3,20,2009,Other,23241322
The Truth,Jason Aldean,6,47,2009,Country,23310640
Baby By Me,50 Cent Featuring Ne-Yo,7,28,2009,Other,14819627
Consider Me Gone,Reba,11,38,2009,Country,23177675
American Saturday Night,Brad Paisley,2,90,2009,Rock,27977121
Eight Second Ride,Jake Owen,6,70,2009,Country,23249992
Gangsta Luv,Snoop Dogg Featuring The-Dream,8,35,2009,Rhythm and blues (R&B),23788319
Use Somebody,Kings Of Leon,45,4,2009,Heavy metal,28822578
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,13,40,2009,Rhythm and blues (R&B),25842785
Never Gonna Be Alone,Nickelback,6,61,2009,Alternative rock,32996017
Already Gone,Kelly Clarkson,20,13,2009,Rock,23988312
Whatcha Say,Jason Derulo,1,7,2009,Pop,25075266
Bonfire,Craig Morgan,12,57,2009,Country,25788133
Don't Rain On My Parade,Glee Cast Featuring Lea Michele,1,53,2009,Other,24482903
Gettin' You Home (The Black Dress Song),Chris Young,18,33,2009,Country,25334489
One Time,Justin Bieber,21,20,2009,Rhythm and blues (R&B),24919330
Life After You,Daughtry,2,64,2009,Heavy metal,25805199
Fifteen,Taylor Swift,14,23,2009,Country,24455097
3,Britney Spears,10,1,2009,Rhythm and blues (R&B),28945135
According To You,Orianthi,2,55,2009,Rock,24184692
Meet Me Halfway,The Black Eyed Peas,13,7,2009,Other,23561698
Last Christmas,Glee Cast,2,63,2009,Other,25602588
Video Phone,Beyonce,3,65,2009,Dance,24806203
Hard,Rihanna Featuring Jeezy,4,19,2009,Dance,23605114
On Fire,Lil Wayne,1,62,2009,Rhythm and blues (R&B),7936880
Halfway Gone,Lifehouse,1,99,2009,Alternative rock,26553851
Paparazzi,Lady Gaga,16,6,2009,Dance,23417955
Smile,Uncle Kracker,19,47,2009,Rock,25006307
Crawl,Chris Brown,3,60,2009,Hip hop/Rap,27424867
Money To Blow,Birdman Featuring Lil Wayne & Drake,10,26,2009,Other,7447521
Live Like We're Dying,Kris Allen,7,36,2009,Alternative rock,23491902
Try Sleeping With A Broken Heart,Alicia Keys,4,42,2009,Other,23365249
Carry Out,Timbaland Featuring Justin Timberlake,2,31,2009,Dance,23954094
Fireflies,Owl City,17,1,2009,Pop,28991363
Russian Roulette,Rihanna,8,9,2009,Pop,25776671
Why Don't We Just Dance,Josh Turner,5,75,2009,Country,26279914
I Wanna Make You Close Your Eyes,Dierks Bentley,11,52,2009,Country,21812571
Uprising,Muse,14,37,2009,Alternative rock,24941839
White Liar,Miranda Lambert,9,38,2009,Country,26247432
Papers,Usher,9,31,2009,Rhythm and blues (R&B),33411787
Body Language,Jesse McCartney Featuring T-Pain,11,35,2009,Rhythm and blues (R&B),23458822
Say Aah,Trey Songz Featuring Fabolous,1,38,2009,Soul,24482205
What I Do,Chris Brown Featuring Plies,1,88,2009,Rhythm and blues (R&B),9770
"Hey, Soul Sister",Train,11,45,2009,Alternative rock,27854285
Sweet Dreams,Beyonce,21,10,2009,Soul,26054814
